Date,Open*,High,Low,Close**,Volume,Market Cap
10-Nov-19,"8,812.49","9,103.83","8,806.16",9055.53,20587919881.00,"163,364,406,732"
9-Nov-19,"8,809.47","8,891.82","8,793.16",8813.58,17578630606.00,"158,981,489,715"
8-Nov-19,"9,265.37","9,272.76","8,775.53",8804.88,24333037836.00,"158,808,570,729"
7-Nov-19,"9,352.39","9,368.48","9,202.35",9267.56,22700383839.00,"167,138,722,904"
6-Nov-19,"9,340.86","9,423.24","9,305.91",9360.88,23133895765.00,"168,806,151,583"
5-Nov-19,"9,413.00","9,457.42","9,256.93",9342.53,26198609048.00,"168,459,778,835"
4-Nov-19,"9,235.61","9,505.05","9,191.49",9412.61,26170255634.00,"169,706,332,936"
3-Nov-19,"9,324.79","9,379.81","9,141.25",9235.35,21132220847.00,"166,495,319,475"
2-Nov-19,"9,259.78","9,377.49","9,249.59",9324.72,21242676385.00,"168,090,392,935"
1-Nov-19,"9,193.99","9,275.66","9,132.05",9261.10,24324691031.00,"166,928,044,164"
31-Oct-19,"9,202.46","9,383.16","9,028.72",9199.58,26583653947.00,"165,804,227,835"
30-Oct-19,"9,422.46","9,426.87","9,085.37",9205.73,27706531577.00,"165,899,500,650"
29-Oct-19,"9,248.44","9,516.18","9,232.65",9427.69,28426779937.00,"169,883,866,262"
28-Oct-19,"9,565.10","9,805.12","9,256.15",9256.15,30948255332.00,"166,777,392,742"
27-Oct-19,"9,241.71","9,749.53","9,112.54",9551.71,32593129501.00,"172,087,039,875"
26-Oct-19,"8,667.58","10,021.74","8,662.62",9244.97,44496255609.00,"166,547,360,782"
25-Oct-19,"7,490.70","8,691.54","7,479.98",8660.70,28705065488.00,"156,006,603,607"
24-Oct-19,"7,509.73","7,532.87","7,446.99",7493.49,16268708849.00,"134,968,410,276"
23-Oct-19,"8,076.23","8,093.00","7,469.32",7514.67,21942878958.00,"135,337,364,282"
22-Oct-19,"8,243.40","8,296.65","8,074.46",8078.20,16803377857.00,"145,469,660,005"
21-Oct-19,"8,225.12","8,296.69","8,196.42",8243.72,15868748866.00,"148,432,733,155"
20-Oct-19,"7,997.81","8,281.82","7,949.44",8222.08,15504249442.00,"148,026,597,064"
19-Oct-19,"7,973.80","8,082.63","7,944.78",7988.56,13797825640.00,"143,808,163,807"
18-Oct-19,"8,100.93","8,138.41","7,902.16",7973.21,15651592610.00,"143,517,630,376"
